ID,neg,neu,pos,compound,GPE
3974,0.44,0.56,0.0,-0.6705,U.S.
1364,0.0,0.703,0.297,0.5859,Iowa
2258,0.146,0.854,0.0,-0.34,Kenya
736,0.0,0.595,0.405,0.5267,Indiana
4283,0.16,0.494,0.346,0.4588,Palin
849,0.0,1.0,0.0,0.0,Indiana
3957,0.0,1.0,0.0,0.0,Russia
3957,0.0,1.0,0.0,0.0,Syria
3957,0.0,1.0,0.0,0.0,Turkey
4268,0.0,1.0,0.0,0.0,New Hampshire
4076,0.684,0.316,0.0,-0.8957,Kenya
2921,0.619,0.381,0.0,-0.7579,Iraq
3002,0.223,0.615,0.162,-0.2732,Hiroshima
3067,0.324,0.676,0.0,-0.34,U.S.
2912,0.0,1.0,0.0,0.0,Iran
322,0.0,0.755,0.245,0.3818,New York
2797,0.218,0.782,0.0,-0.5994,Iran
144,0.174,0.659,0.168,-0.0258,Selma
72,0.0,1.0,0.0,0.0,Eleven States
3946,0.222,0.598,0.179,0.0905,US
3946,0.222,0.598,0.179,0.0905,US
382,0.191,0.809,0.0,-0.3818,Canada
2877,0.0,1.0,0.0,0.0,Iran
2186,0.271,0.729,0.0,-0.3818,Iran
4759,0.0,0.583,0.417,0.6124,Ohio
2421,0.286,0.714,0.0,-0.6597,Cuba
2421,0.286,0.714,0.0,-0.6597,America
2863,0.0,1.0,0.0,0.0,Iran
4429,0.248,0.661,0.091,-0.4404,U.S.
4429,0.248,0.661,0.091,-0.4404,Iraq
4030,0.298,0.702,0.0,-0.34,Hungary
2806,0.0,0.639,0.361,0.6858,Iran
1734,0.0,1.0,0.0,0.0,South Carolina
1734,0.0,1.0,0.0,0.0,Nevada
1630,0.425,0.411,0.164,-0.5859,U.S.
3127,0.0,1.0,0.0,0.0,America
908,0.353,0.647,0.0,-0.5994,Kasich
1280,0.161,0.839,0.0,-0.3182,N.H.
2291,0.348,0.652,0.0,-0.4939,Russia
1386,0.0,0.709,0.291,0.5719,Iowa
4542,0.0,1.0,0.0,0.0,Chicago
4373,0.237,0.763,0.0,-0.4767,US
3991,0.4,0.6,0.0,-0.7184,U.S.
2527,0.167,0.833,0.0,-0.0516,Alabama
3124,0.353,0.647,0.0,-0.5994,Charleston
4016,0.471,0.529,0.0,-0.836,Syria
668,0.0,0.756,0.244,0.4404,California
5195,0.16,0.84,0.0,-0.2263,US
469,0.0,1.0,0.0,0.0,Iowa
469,0.0,1.0,0.0,0.0,New Hampshire
4567,0.0,0.625,0.375,0.3818,Cuba
1929,0.2,0.8,0.0,-0.3612,Wisconsin
2124,0.231,0.769,0.0,-0.2023,California
590,0.0,0.839,0.161,0.3612,Kentucky
926,0.0,0.49,0.51,0.6369,Kasich
2009,0.0,1.0,0.0,0.0,Rubio
2009,0.0,1.0,0.0,0.0,Cuba
3778,0.0,0.801,0.199,0.1877,Boston
2948,0.0,1.0,0.0,0.0,Saudi Arabia's
2948,0.0,1.0,0.0,0.0,US
5085,0.276,0.724,0.0,-0.6369,Philadelphia
3524,0.35,0.65,0.0,-0.6486,San Bernardino
4430,0.0,1.0,0.0,0.0,Moscow
4223,0.0,0.613,0.387,0.743,Wisconsin
4247,0.0,1.0,0.0,0.0,South Carolina
551,0.174,0.826,0.0,-0.2732,America
2998,0.0,1.0,0.0,0.0,US
2998,0.0,1.0,0.0,0.0,North Korea
1047,0.0,0.769,0.231,0.4588,Michigan
1047,0.0,0.769,0.231,0.4588,Mississippi
998,0.0,0.684,0.316,0.5719,Rubio
1437,0.0,0.714,0.286,0.34,Iowa
1437,0.0,0.714,0.286,0.34,Clinton
1437,0.0,0.714,0.286,0.34,Rubio
2889,0.0,1.0,0.0,0.0,Iran
2843,0.174,0.826,0.0,-0.2263,Iran
3981,0.381,0.619,0.0,-0.6486,Mali
2378,0.122,0.524,0.354,0.5475,America
4157,0.0,1.0,0.0,0.0,Detroit
1705,0.419,0.581,0.0,-0.7579,Arizona
74,0.16,0.661,0.179,-0.128,America
3769,0.147,0.853,0.0,-0.2263,Camden
3769,0.147,0.853,0.0,-0.2263,Baltimore
4554,0.0,1.0,0.0,0.0,Russia
2392,0.0,0.682,0.318,0.6369,Florida
3105,0.0,0.625,0.375,0.6369,Philadelphia
345,0.343,0.392,0.265,-0.3818,America
2911,0.256,0.744,0.0,-0.4767,London
2796,0.0,1.0,0.0,0.0,Iran
4562,0.27,0.73,0.0,-0.4019,Russia
4562,0.27,0.73,0.0,-0.4019,Syria
4562,0.27,0.73,0.0,-0.4019,U.S.
2660,0.0,1.0,0.0,0.0,Wisconsin
2616,0.247,0.753,0.0,-0.3182,Israel
3693,0.173,0.827,0.0,-0.3182,Oregon
3701,0.385,0.615,0.0,-0.6124,St. Louis
2935,0.203,0.797,0.0,-0.4215,U.S.
2935,0.203,0.797,0.0,-0.4215,Afghanistan
2951,0.0,1.0,0.0,0.0,Syria
416,0.146,0.68,0.175,0.0772,US
3994,0.352,0.464,0.184,-0.3662,U.S.
3994,0.352,0.464,0.184,-0.3662,Paris
1328,0.0,1.0,0.0,0.0,N.H.
3523,0.0,1.0,0.0,0.0,U.S.
2949,0.0,1.0,0.0,0.0,Saudi Arabia
1636,0.0,0.519,0.481,0.5719,Kasich
397,0.0,1.0,0.0,0.0,Syria
1012,0.0,1.0,0.0,0.0,Wisconsin
2785,0.394,0.606,0.0,-0.5994,Syria
3341,0.152,0.848,0.0,-0.3612,Iran
2784,0.0,1.0,0.0,0.0,Iraq
2351,0.0,0.811,0.189,0.4215,U.S.
4571,0.336,0.5,0.164,-0.34,America
4913,0.0,1.0,0.0,0.0,Virginia
2932,0.217,0.667,0.117,-0.296,Egypt
4408,0.217,0.606,0.177,-0.2023,Israel
4565,0.0,1.0,0.0,0.0,US
4565,0.0,1.0,0.0,0.0,Soviet Union’s
2356,0.593,0.407,0.0,-0.8807,Charleston
2270,0.0,0.703,0.297,0.5859,Ireland
2122,0.0,1.0,0.0,0.0,America
705,0.0,1.0,0.0,0.0,San Diego
3961,0.0,1.0,0.0,0.0,Turkey
985,0.326,0.674,0.0,-0.4404,Wyoming
858,0.275,0.58,0.145,-0.2023,Indiana
413,0.0,0.777,0.223,0.3182,U.S.
2632,0.0,1.0,0.0,0.0,Cleveland
2746,0.098,0.902,0.0,-0.0516,Selma
4164,0.438,0.562,0.0,-0.872,America
3949,0.103,0.759,0.138,0.128,Russia
3949,0.103,0.759,0.138,0.128,Syria
984,0.121,0.403,0.476,0.6597,Colorado
2868,0.0,1.0,0.0,0.0,Iran
4516,0.0,1.0,0.0,0.0,Texas
2221,0.0,1.0,0.0,0.0,US
1490,0.0,1.0,0.0,0.0,California
1279,0.0,0.743,0.257,0.5859,America
2825,0.0,0.843,0.157,0.0772,Iran
2304,0.324,0.676,0.0,-0.34,Russia
1231,0.16,0.66,0.179,0.1027,Rubio
1231,0.16,0.66,0.179,0.1027,Iowa
3715,0.173,0.67,0.156,-0.0772,Charleston
2835,0.302,0.698,0.0,-0.3818,Syria
4038,0.0,0.741,0.259,0.1027,Turkey
3501,0.355,0.645,0.0,-0.6597,US
3500,0.475,0.525,0.0,-0.8768,Lahore
3500,0.475,0.525,0.0,-0.8768,Pakistan
2214,0.242,0.758,0.0,-0.4939,US
5019,0.0,1.0,0.0,0.0,US
861,0.192,0.808,0.0,-0.2263,California
3871,0.219,0.781,0.0,-0.4215,Iran
2795,0.0,0.811,0.189,0.2732,Iran
3911,0.182,0.818,0.0,-0.4404,US
3951,0.496,0.504,0.0,-0.7096,Germany
170,0.225,0.543,0.233,0.0258,Ryan
685,0.302,0.698,0.0,-0.3818,California
3880,0.677,0.323,0.0,-0.8126,U.S.
2625,0.394,0.606,0.0,-0.5994,Iran
3429,0.406,0.594,0.0,-0.6249,Washington
4486,0.0,1.0,0.0,0.0,VA
3572,0.0,0.785,0.215,0.4101,Iran
2971,0.0,1.0,0.0,0.0,Bergdahl
3521,0.206,0.794,0.0,-0.3818,Syria
3521,0.206,0.794,0.0,-0.3818,Iraq
3954,0.0,0.789,0.211,0.3412,Ukraine
606,0.0,0.707,0.293,0.4404,Kentucky
1450,0.245,0.755,0.0,-0.3818,Milwaukee
2072,0.255,0.745,0.0,-0.6249,Flint
1663,0.0,1.0,0.0,0.0,Iraq
947,0.204,0.796,0.0,-0.3182,New York
2913,0.236,0.764,0.0,-0.5267,Iraq
2913,0.236,0.764,0.0,-0.5267,Iran
3677,0.307,0.693,0.0,-0.4767,Calif.
2202,0.0,1.0,0.0,0.0,Iran
1596,0.0,0.797,0.203,0.4215,the United States
3563,0.364,0.636,0.0,-0.8402,America
3690,0.323,0.677,0.0,-0.5106,St. Louis
1075,0.213,0.533,0.253,0.1531,Kasich
4363,0.0,1.0,0.0,0.0,US
1385,0.209,0.791,0.0,-0.2755,America
2928,0.333,0.667,0.0,-0.6705,Egypt
2928,0.333,0.667,0.0,-0.6705,Libya
2353,0.0,1.0,0.0,0.0,America
2601,0.0,1.0,0.0,0.0,Iran
4255,0.0,0.901,0.099,0.0258,New Hampshire
2623,0.3,0.455,0.245,-0.1531,Israel
600,0.23,0.504,0.266,0.128,Kentucky
600,0.23,0.504,0.266,0.128,Ohio
2489,0.2,0.8,0.0,-0.3612,US
2489,0.2,0.8,0.0,-0.3612,Mexico
4055,0.0,0.658,0.342,0.3818,Ukraine
1669,0.0,0.756,0.244,0.4404,Rubio
1669,0.0,0.756,0.244,0.4404,Cruz
