ID,polarity,subjectivity,GPE
8830,0.0,0.0,America
8830,0.0,0.0,Philippines
8830,0.0,0.0,Russia
8830,0.0,0.0,China
7998,0.0,0.0,California
9166,0.0,0.0,Russia
9211,0.0,0.0,Tal Afar
9211,0.0,0.0,Turkey
6813,0.0,0.0,America
8398,-0.2878787878787879,0.48484848484848486,Russia
8496,0.0,0.0,America
9633,0.0,0.0,Ukraine
7636,-0.2,0.2,U.S.
5581,0.0,0.375,US
8999,0.25,0.5,America
8999,0.25,0.5,Florida
8999,0.25,0.5,US
10128,0.0,0.0,Tennessee
7268,0.06818181818181818,0.22727272727272727,US
9617,0.4,1.0,Russia
9617,0.4,1.0,Kuznetsov
6333,0.0,0.0,California
5289,0.061111111111111095,0.39999999999999997,United States
8345,0.0,0.0,Aliens
5614,0.5,0.5,D.C.
5680,0.2857142857142857,0.5357142857142857,Profile
5680,0.2857142857142857,0.5357142857142857,Profile
9826,-0.07777777777777779,0.14444444444444446,Australia
7829,-0.15,0.1,Saudi Arabia Re-Elected
5522,-0.8,1.0,Mosul
7445,0.0,0.0,Ethiopia
9038,0.0,0.0,Russia
9038,0.0,0.0,Syria
8817,0.0,0.0,US
9494,-0.6,0.9,Venezuela
8886,-0.2357142857142857,0.40714285714285714,America
8235,0.0,0.0,Iran
7079,0.06818181818181818,0.7272727272727273,Tsunami
7079,0.06818181818181818,0.7272727272727273,New Zealand
9296,0.0,0.0,US
9116,-0.08333333333333333,0.21666666666666667,Israel
5991,0.9375000000000001,0.9,Miami
7339,0.0,0.0,Iran
7339,0.0,0.0,Finland
7339,0.0,0.0,Tehran
8215,-0.05,0.4,Pakistan
9153,0.0,0.0,Standing Rock
9153,0.0,0.0,North Dakota
10116,0.5,0.5,Israel
9577,0.0,0.1,FLORIDA
10546,0.0,1.0,California
6211,0.1,0.2,Jerusalem
6211,0.1,0.2,Old City
8343,0.0,0.0,India
7408,0.8,0.4,Swansea City
9333,0.0,0.0,America
5396,-0.25,0.25,U.S.
5752,0.0,0.0,America
7615,0.2,0.2,North Carolina
8816,0.0,0.0,Paris
6341,0.13636363636363635,0.45454545454545453,New Moon
7919,0.0,0.0,U.S.
7919,0.0,0.0,Syria
8149,0.0,0.0,Britain
6718,0.0,0.0,America
6094,0.20757575757575755,0.5015151515151516,New York
5542,0.0,0.0,Russia
5542,0.0,0.0,France
10089,0.0,0.0,Morocco
10089,0.0,0.0,Spain
9143,0.3,0.0,Israel
9143,0.3,0.0,Israel
9126,0.0,0.0,Mosul
5587,0.0,0.0,California
6934,0.0,0.0,America
6660,0.0,0.0,Standing Rock
10107,0.4,0.4,Jynxster
5948,0.0,0.0,Russia
7674,0.5,0.8194444444444444,Paris
7255,0.0,0.0,Russia
6192,-0.06666666666666667,0.3,Germany
8633,0.15,0.05,US
10031,0.0,0.0,Cleveland
6663,0.5,0.9,US
6663,0.5,0.9,Russia
8331,0.0,0.0,Florida
6295,0.1708333333333333,0.4222222222222223,Abu Dhabi
6295,0.1708333333333333,0.4222222222222223,Wales
6111,0.0,0.0,Britain
7620,0.0,0.3125,Russia
9411,0.0,0.125,Turkey
9411,0.0,0.125,Raqqa
7165,0.0,0.0,Guatemala
6406,0.0,0.1,Iceland
8638,0.3333333333333333,1.0,D.C.
6265,0.0,0.5,Washington DC
6007,-0.25,0.25,US
6007,-0.25,0.25,Iran
6007,-0.25,0.25,Yemen
7207,0.0,0.0,America
6050,0.0,0.0,Russia
9475,0.0,0.0,US
8764,0.0,0.0,US
8764,0.0,0.0,Mosul
7092,0.35,0.4,modern MI6
7092,0.35,0.4,Britain
10515,0.0,0.0,Arizona
9662,-0.5,0.3,Oregon
6215,0.35714285714285715,0.5714285714285714,Mosul
8592,1.0,1.0,Canada
9480,0.13636363636363635,0.45454545454545453,Saudi Arabia
8760,0.4,0.8,US
8155,0.0,0.0,China
7026,-0.2,0.0,US
7026,-0.2,0.0,Yemen
10147,0.1,0.4,Russia
9644,0.0,0.0,Iran
9644,0.0,0.0,Russia
9644,0.0,0.0,Syria
9644,0.0,0.0,Moscow
9233,0.25,0.3333333333333333,Russia
8551,-0.05,0.3,Russia
9761,0.0,0.0,the United States
6063,0.10000000000000002,0.3333333333333333,US
8986,0.4000000000000001,0.9,Russia
9859,0.13636363636363635,0.45454545454545453,US
8169,0.31666666666666665,0.41666666666666663,Russia
8987,-0.35,0.55,Russia
7382,0.0,0.0,Ukrainian
8720,0.0,0.0,India
9934,-0.125,0.125,U.S.
6343,-0.05,0.0,North Dakota
9643,0.0,0.0,Russia
7096,0.0,0.0,Israel
5710,0.2857142857142857,0.5357142857142857,Israel
5710,0.2857142857142857,0.5357142857142857,Jerusalem
8400,0.0,0.0,Tokyo
8400,0.0,0.0,US
10166,0.0,0.0,Syria
9908,0.2,0.25,Fury
5855,0.0,0.0,Dakota
9194,0.0,0.0,America
8753,0.0,0.0,Russia
8274,-0.5,1.0,Russia
5475,0.35714285714285715,0.5714285714285714,U.S.
5475,0.35714285714285715,0.5714285714285714,Russia
5483,0.0,0.625,India
8455,0.5,1.0,Virginia
8182,0.1,0.4,US
8182,0.1,0.4,Mosul
8182,0.1,0.4,Syria
10323,0.0,0.0,Mexico
