ID,neg,neu,pos,compound,GPE
7221,0.0,1.0,0.0,0.0,Turkey
7794,0.149,0.851,0.0,-0.1027,Oregon
9280,0.0,1.0,0.0,0.0,US
9280,0.0,1.0,0.0,0.0,Norway
8336,0.0,1.0,0.0,0.0,Palmyra
6887,0.077,0.718,0.204,0.3182,Russia
10036,0.262,0.537,0.201,-0.2263,Syria
8596,0.0,1.0,0.0,0.0,China
8596,0.0,1.0,0.0,0.0,Russia
5908,0.0,1.0,0.0,0.0,Berkeley
5755,0.225,0.775,0.0,-0.7256,France
5420,0.0,1.0,0.0,0.0,US
7859,0.286,0.542,0.172,-0.3182,US
10549,0.233,0.767,0.0,-0.7256,France
8997,0.0,0.696,0.304,0.5423,Yemen
10023,0.244,0.756,0.0,-0.4939,Minnesota
5560,0.162,0.838,0.0,-0.4019,U.S.
5503,0.394,0.606,0.0,-0.7579,US
10144,0.26,0.548,0.192,-0.25,The United States
8736,0.0,0.87,0.13,0.2023,Malaysia
8736,0.0,0.87,0.13,0.2023,China
9698,0.31,0.69,0.0,-0.7034,Michigan
9497,0.272,0.728,0.0,-0.4767,Warsaw
9497,0.272,0.728,0.0,-0.4767,London
5888,0.075,0.925,0.0,-0.0572,U.S.
10024,0.098,0.671,0.232,0.4939,Russia
10024,0.098,0.671,0.232,0.4939,Tokyo
9227,0.368,0.632,0.0,-0.5423,Pakistan
9227,0.368,0.632,0.0,-0.5423,Balochistan
9261,0.0,0.741,0.259,0.4215,United States
9335,0.0,0.748,0.252,0.4019,Saudi Arabia
8391,0.319,0.539,0.142,-0.5574,North Korea
8391,0.319,0.539,0.142,-0.5574,Israel
10429,0.196,0.804,0.0,-0.296,US
10429,0.196,0.804,0.0,-0.296,Russia
8830,0.119,0.881,0.0,-0.3182,America
8830,0.119,0.881,0.0,-0.3182,Philippines
8830,0.119,0.881,0.0,-0.3182,Russia
8830,0.119,0.881,0.0,-0.3182,China
7998,0.434,0.566,0.0,-0.7845,California
9166,0.464,0.536,0.0,-0.6369,Russia
9211,0.123,0.877,0.0,-0.2732,Tal Afar
9211,0.123,0.877,0.0,-0.2732,Turkey
6813,0.0,0.635,0.365,0.3182,America
8398,0.198,0.802,0.0,-0.5719,Russia
8496,0.0,1.0,0.0,0.0,America
9633,0.464,0.536,0.0,-0.8316,Ukraine
7636,0.252,0.748,0.0,-0.4019,U.S.
5581,0.0,1.0,0.0,0.0,US
8999,0.0,0.766,0.234,0.7269,America
8999,0.0,0.766,0.234,0.7269,Florida
8999,0.0,0.766,0.234,0.7269,US
10128,0.272,0.564,0.164,-0.2732,Tennessee
7268,0.0,1.0,0.0,0.0,US
9617,0.0,1.0,0.0,0.0,Russia
9617,0.0,1.0,0.0,0.0,Kuznetsov
6333,0.0,1.0,0.0,0.0,California
5289,0.265,0.605,0.13,-0.4404,United States
8345,0.0,1.0,0.0,0.0,Aliens
5614,0.0,1.0,0.0,0.0,D.C.
5680,0.533,0.467,0.0,-0.8402,Profile
5680,0.533,0.467,0.0,-0.8402,Profile
9826,0.162,0.838,0.0,-0.4019,Australia
7829,0.204,0.796,0.0,-0.3182,Saudi Arabia Re-Elected
5522,0.0,1.0,0.0,0.0,Mosul
7445,0.0,1.0,0.0,0.0,Ethiopia
9038,0.0,1.0,0.0,0.0,Russia
9038,0.0,1.0,0.0,0.0,Syria
8817,0.52,0.48,0.0,-0.7579,US
9494,0.593,0.407,0.0,-0.8807,Venezuela
8886,0.188,0.606,0.206,0.0772,America
8235,0.265,0.612,0.122,-0.34,Iran
7079,0.238,0.762,0.0,-0.3612,Tsunami
7079,0.238,0.762,0.0,-0.3612,New Zealand
9296,0.0,1.0,0.0,0.0,US
9116,0.166,0.605,0.229,0.2103,Israel
5991,0.0,0.769,0.231,0.7284,Miami
7339,0.0,1.0,0.0,0.0,Iran
7339,0.0,1.0,0.0,0.0,Finland
7339,0.0,1.0,0.0,0.0,Tehran
