ID,polarity,subjectivity,GPE
2863,0.0,0.0,Iran
4429,0.0,0.0,U.S.
4429,0.0,0.0,Iraq
4030,0.0,0.0,Hungary
2806,0.4,0.8,Iran
1734,0.1,1.0,South Carolina
1734,0.1,1.0,Nevada
1630,-0.3166666666666667,0.3,U.S.
3127,0.0,0.0,America
908,0.0,0.0,Kasich
1280,-0.2,0.2,N.H.
2291,0.4166666666666667,0.5833333333333334,Russia
1386,0.3,0.2,Iowa
4542,0.0,0.0,Chicago
4373,-0.1962121212121212,0.49318181818181817,US
3991,-0.2,0.0,U.S.
2527,0.0,0.0,Alabama
3124,-0.75,0.75,Charleston
4016,-0.25,0.45,Syria
668,0.0,0.06666666666666667,California
5195,0.19999999999999998,0.19999999999999998,US
469,0.06818181818181818,0.2772727272727273,Iowa
469,0.06818181818181818,0.2772727272727273,New Hampshire
4567,0.0,0.0,Cuba
1929,0.012500000000000011,0.1875,Wisconsin
2124,0.0,0.0,California
590,0.0,0.0,Kentucky
926,0.0,0.0,Kasich
2009,0.0,0.0,Rubio
2009,0.0,0.0,Cuba
3778,0.0,0.0,Boston
2948,0.0,0.0,Saudi Arabia's
2948,0.0,0.0,US
5085,0.0,0.0,Philadelphia
3524,0.0,0.0,San Bernardino
4430,0.0875,0.5125,Moscow
4223,0.2,0.30000000000000004,Wisconsin
4247,0.28,0.52,South Carolina
551,0.0,0.0,America
2998,0.0,0.0,US
2998,0.0,0.0,North Korea
1047,0.0,0.0,Michigan
1047,0.0,0.0,Mississippi
998,-0.125,0.375,Rubio
1437,0.0,0.0,Iowa
1437,0.0,0.0,Clinton
1437,0.0,0.0,Rubio
2889,0.0,0.0,Iran
2843,0.2857142857142857,0.5357142857142857,Iran
3981,-0.2,0.4,Mali
2378,-0.2916666666666667,0.5416666666666666,America
4157,0.5,0.5,Detroit
1705,0.0,0.0,Arizona
74,0.375,0.75,America
3769,-0.1,0.1,Camden
3769,-0.1,0.1,Baltimore
4554,0.0,0.0,Russia
2392,0.0,0.0,Florida
3105,0.5,0.6,Philadelphia
345,-0.2,0.275,America
2911,0.0,1.0,London
2796,0.13636363636363635,0.5,Iran
4562,0.13636363636363635,0.45454545454545453,Russia
4562,0.13636363636363635,0.45454545454545453,Syria
4562,0.13636363636363635,0.45454545454545453,U.S.
2660,0.0,0.0,Wisconsin
2616,0.0,0.0,Israel
3693,0.0,0.0,Oregon
3701,-0.3,0.4,St. Louis
2935,0.0,0.0,U.S.
2935,0.0,0.0,Afghanistan
2951,0.5,0.5,Syria
416,0.5,0.5,US
3994,0.0,0.0,U.S.
3994,0.0,0.0,Paris
1328,0.0,0.0,N.H.
3523,-0.1,0.0,U.S.
2949,0.0,0.0,Saudi Arabia
1636,0.3,0.2,Kasich
397,0.0,0.0,Syria
1012,0.4,0.5,Wisconsin
2785,0.0,0.0,Syria
3341,0.2,0.30000000000000004,Iran
2784,0.0,0.0,Iraq
2351,0.0,0.0,U.S.
4571,-0.4,0.7,America
4913,0.0,0.0,Virginia
2932,0.0,0.0,Egypt
4408,-0.5,0.7,Israel
4565,0.10000000000000002,0.35000000000000003,US
4565,0.10000000000000002,0.35000000000000003,Soviet Union’s
2356,0.0,0.0,Charleston
2270,0.30000000000000004,0.45,Ireland
2122,0.45,0.8500000000000001,America
705,0.0,0.0,San Diego
3961,-0.1,0.1,Turkey
985,0.0,0.0,Wyoming
858,0.0,0.0,Indiana
413,0.0,1.0,U.S.
2632,0.0,0.0,Cleveland
2746,0.0,0.0,Selma
4164,0.0,0.1,America
3949,-0.15555555555555559,0.2888888888888889,Russia
3949,-0.15555555555555559,0.2888888888888889,Syria
984,0.4333333333333333,0.7333333333333333,Colorado
2868,0.1,0.2,Iran
4516,0.0,0.0,Texas
2221,-0.125,0.125,US
1490,0.0,0.0,California
1279,0.575,0.47500000000000003,America
2825,0.2,0.2,Iran
2304,0.0,0.0,Russia
1231,0.30000000000000004,0.30000000000000004,Rubio
1231,0.30000000000000004,0.30000000000000004,Iowa
3715,-0.08333333333333333,0.21666666666666667,Charleston
2835,0.0,0.0,Syria
4038,0.0,0.0,Turkey
3501,0.0,0.0,US
3500,0.15,0.45,Lahore
3500,0.15,0.45,Pakistan
2214,0.0,0.0,US
5019,0.0,0.0,US
861,0.0,0.0,California
3871,0.0,0.0,Iran
2795,0.15714285714285714,0.4857142857142857,Iran
3911,0.2857142857142857,0.5357142857142857,US
3951,0.0,0.0,Germany
170,0.0,0.0,Ryan
685,0.0,0.0,California
3880,-0.2,0.0,U.S.
2625,0.0,0.0,Iran
3429,-1.0,1.0,Washington
4486,0.13636363636363635,0.45454545454545453,VA
3572,0.2,0.30000000000000004,Iran
2971,0.0,0.0,Bergdahl
3521,0.0,0.0,Syria
3521,0.0,0.0,Iraq
3954,0.0,0.0,Ukraine
606,0.7000000000000001,0.7999999999999999,Kentucky
1450,0.0,0.0,Milwaukee
